date,value,series_id,indicator_name
2020-04-19 18:23:06.098021,15059.31,M2,M2 Money Stock
2020-04-26 18:23:06.098021,15101.3,M2,M2 Money Stock
2020-05-03 18:23:06.098021,15119.72,M2,M2 Money Stock
2020-05-10 18:23:06.098021,15238.86,M2,M2 Money Stock
2020-05-17 18:23:06.098021,15163.99,M2,M2 Money Stock
2020-05-24 18:23:06.098021,14798.98,M2,M2 Money Stock
2020-05-31 18:23:06.098021,15125.6,M2,M2 Money Stock
2020-06-07 18:23:06.098021,15056.1,M2,M2 Money Stock
2020-06-14 18:23:06.098021,15055.71,M2,M2 Money Stock
2020-06-21 18:23:06.098021,15086.43,M2,M2 Money Stock
2020-06-28 18:23:06.098021,15241.39,M2,M2 Money Stock
2020-07-05 18:23:06.098021,15056.68,M2,M2 Money Stock
2020-07-12 18:23:06.098021,15117.6,M2,M2 Money Stock
2020-07-19 18:23:06.098021,15242.96,M2,M2 Money Stock
2020-07-26 18:23:06.098021,15388.28,M2,M2 Money Stock
2020-08-02 18:23:06.098021,15072.78,M2,M2 Money Stock
2020-08-09 18:23:06.098021,15322.0,M2,M2 Money Stock
2020-08-16 18:23:06.098021,15182.5,M2,M2 Money Stock
2020-08-23 18:23:06.098021,15324.24,M2,M2 Money Stock
2020-08-30 18:23:06.098021,14996.48,M2,M2 Money Stock
2020-09-06 18:23:06.098021,15379.39,M2,M2 Money Stock
2020-09-13 18:23:06.098021,15310.81,M2,M2 Money Stock
2020-09-20 18:23:06.098021,15469.02,M2,M2 Money Stock
2020-09-27 18:23:06.098021,15309.86,M2,M2 Money Stock
2020-10-04 18:23:06.098021,15263.91,M2,M2 Money Stock
2020-10-11 18:23:06.098021,15345.14,M2,M2 Money Stock
2020-10-18 18:23:06.098021,15535.56,M2,M2 Money Stock
2020-10-25 18:23:06.098021,15584.31,M2,M2 Money Stock
2020-11-01 18:23:06.098021,15416.36,M2,M2 Money Stock
2020-11-08 18:23:06.098021,15186.08,M2,M2 Money Stock
2020-11-15 18:23:06.098021,15438.87,M2,M2 Money Stock
2020-11-22 18:23:06.098021,15673.13,M2,M2 Money Stock
2020-11-29 18:23:06.098021,15533.78,M2,M2 Money Stock
2020-12-06 18:23:06.098021,15399.03,M2,M2 Money Stock
2020-12-13 18:23:06.098021,15690.32,M2,M2 Money Stock
2020-12-20 18:23:06.098021,15520.29,M2,M2 Money Stock
2020-12-27 18:23:06.098021,15432.69,M2,M2 Money Stock
2021-01-03 18:23:06.098021,15454.71,M2,M2 Money Stock
2021-01-10 18:23:06.098021,15467.0,M2,M2 Money Stock
2021-01-17 18:23:06.098021,15301.74,M2,M2 Money Stock
2021-01-24 18:23:06.098021,15607.26,M2,M2 Money Stock
2021-01-31 18:23:06.098021,15475.6,M2,M2 Money Stock
2021-02-07 18:23:06.098021,15523.81,M2,M2 Money Stock
2021-02-14 18:23:06.098021,15566.19,M2,M2 Money Stock
2021-02-21 18:23:06.098021,15548.32,M2,M2 Money Stock
2021-02-28 18:23:06.098021,15344.92,M2,M2 Money Stock
2021-03-07 18:23:06.098021,15748.35,M2,M2 Money Stock
2021-03-14 18:23:06.098021,15747.97,M2,M2 Money Stock
2021-03-21 18:23:06.098021,15475.76,M2,M2 Money Stock
2021-03-28 18:23:06.098021,15750.27,M2,M2 Money Stock
2021-04-04 18:23:06.098021,15690.44,M2,M2 Money Stock
2021-04-11 18:23:06.098021,15989.77,M2,M2 Money Stock
2021-04-18 18:23:06.098021,15715.76,M2,M2 Money Stock
2021-04-25 18:23:06.098021,15898.99,M2,M2 Money Stock
2021-05-02 18:23:06.098021,15511.88,M2,M2 Money Stock
2021-05-09 18:23:06.098021,15925.94,M2,M2 Money Stock
2021-05-16 18:23:06.098021,15591.43,M2,M2 Money Stock
2021-05-23 18:23:06.098021,15959.08,M2,M2 Money Stock
2021-05-30 18:23:06.098021,16005.49,M2,M2 Money Stock
2021-06-06 18:23:06.098021,15918.57,M2,M2 Money Stock
2021-06-13 18:23:06.098021,15456.58,M2,M2 Money Stock
2021-06-20 18:23:06.098021,15714.43,M2,M2 Money Stock
2021-06-27 18:23:06.098021,16096.04,M2,M2 Money Stock
2021-07-04 18:23:06.098021,16106.72,M2,M2 Money Stock
2021-07-11 18:23:06.098021,15853.64,M2,M2 Money Stock
2021-07-18 18:23:06.098021,15997.08,M2,M2 Money Stock
2021-07-25 18:23:06.098021,16325.82,M2,M2 Money Stock
2021-08-01 18:23:06.098021,16059.12,M2,M2 Money Stock
2021-08-08 18:23:06.098021,16336.71,M2,M2 Money Stock
2021-08-15 18:23:06.098021,15929.98,M2,M2 Money Stock
2021-08-22 18:23:06.098021,15858.62,M2,M2 Money Stock
2021-08-29 18:23:06.098021,16094.66,M2,M2 Money Stock
2021-09-05 18:23:06.098021,16113.26,M2,M2 Money Stock
2021-09-12 18:23:06.098021,16594.34,M2,M2 Money Stock
2021-09-19 18:23:06.098021,16107.7,M2,M2 Money Stock
2021-09-26 18:23:06.098021,16184.48,M2,M2 Money Stock
2021-10-03 18:23:06.098021,16212.0,M2,M2 Money Stock
2021-10-10 18:23:06.098021,16037.74,M2,M2 Money Stock
2021-10-17 18:23:06.098021,16050.68,M2,M2 Money Stock
2021-10-24 18:23:06.098021,16299.73,M2,M2 Money Stock
2021-10-31 18:23:06.098021,16659.34,M2,M2 Money Stock
2021-11-07 18:23:06.098021,15996.29,M2,M2 Money Stock
2021-11-14 18:23:06.098021,16117.31,M2,M2 Money Stock
2021-11-21 18:23:06.098021,16420.47,M2,M2 Money Stock
2021-11-28 18:23:06.098021,16439.65,M2,M2 Money Stock
2021-12-05 18:23:06.098021,16085.56,M2,M2 Money Stock
2021-12-12 18:23:06.098021,16391.16,M2,M2 Money Stock
2021-12-19 18:23:06.098021,16200.41,M2,M2 Money Stock
